name,address,lat,lng,rating,reviews,genre,closed,url
すき家 三田店,東京都港区芝5-25-9,35.64731093792529,139.74476668289523,3.07,,"田町駅, 東京, 牛丼",,https://tabelog.com/tokyo/A1314/A131402/13132843/
吉野家 田町駅芝浦店,東京都港区芝浦3-15-7,35.642048637929726,139.74820888283966,3.06,,"田町駅, 東京, 牛丼, 居酒屋",,https://tabelog.com/tokyo/A1314/A131402/13024485/
すき家 芝四丁目店,東京都港区芝4-7-1西山ビル 1F,35.64918733792646,139.75222908290894,3.05,,"三田駅, 東京, 牛丼, カレー, 食堂",,https://tabelog.com/tokyo/A1314/A131402/13154718/
個室接待・打ちたて蕎麦 永山,東京都港区芝5-32-10土屋ビル,35.64724683792625,139.74766898289252,3.35,,"三田駅, 東京, 居酒屋, 海鮮, そば",,https://tabelog.com/tokyo/A1314/A131402/13155470/
河岸番外地 田町店,東京都港区芝5-34-6新田町ビル 1F,35.64598003792677,139.7467304828804,3.34,,"田町駅, 東京, 海鮮, 居酒屋, 日本酒バー",,https://tabelog.com/tokyo/A1314/A131402/13155402/
魚と日本酒×焼き鳥 田町商店 総本店,東京都港区芝5-23-12,35.64787369388611,139.74584366283173,3.51,,"三田駅, 東京, 居酒屋, 焼き鳥, 海鮮",,https://tabelog.com/tokyo/A1314/A131402/13305020/
月夜つきよ居酒屋,東京都港区芝5-24-11,35.64788300262375,139.7451957901548,3.09,,"三田駅, 東京, 居酒屋, 焼き鳥, 日本料理",,https://tabelog.com/tokyo/A1314/A131402/13313413/
三田餃子酒場,東京都港区芝5-16-7芝ビル 2F,35.64864263792501,139.74657078290738,3.09,,"三田駅, 東京, 居酒屋, 海鮮, 焼き鳥",,https://tabelog.com/tokyo/A1314/A131402/13286028/
本家あべや ムスブ 田町店,東京都港区芝浦3-1-21msb Tamachi 田町ステーションタワーS,35.64499593792821,139.74927818286866,3.38,,"田町駅, 東京, 焼き鳥, 居酒屋, 水炊き",,https://tabelog.com/tokyo/A1314/A131402/13227508/
亀喜,東京都港区芝5丁目26-3,35.64780643792518,139.74541128289977,3.4,,"三田駅, 東京, 居酒屋, 海鮮, 焼き鳥",,https://tabelog.com/tokyo/A1314/A131402/13048109/
神楽坂 九頭龍蕎麦 ムスブ田町店,東京都港区芝浦3-1-1田町ステーションタワーN 1F,35.645090442566726,139.74939849574918,3.48,,"田町駅, 東京, そば, かに, 日本料理",,https://tabelog.com/tokyo/A1314/A131402/13251205/
モツ兵衛 三田店,東京都港区芝4-1-23三田ＮＮビル B1F,35.64876973792586,139.74944508290667,3.2,,"三田駅, 東京, もつ鍋, もつ焼き, 居酒屋",,https://tabelog.com/tokyo/A1314/A131402/13027272/
海鮮居酒屋 名物酒家,東京都港区芝4-12-2B1F,35.64786623792668,139.750237682897,3.12,,"三田駅, 東京, 居酒屋, 海鮮, 寿司",,https://tabelog.com/tokyo/A1314/A131402/13162609/
鉄火 本店,東京都港区芝5-23-15,35.64798793792516,139.7456965829014,3.47,,"三田駅, 東京, 居酒屋, 焼き鳥, ホルモン",,https://tabelog.com/tokyo/A1314/A131402/13026121/
くいもの屋わん 田町店,東京都港区芝5-31-24勝文館共同ビル２・３階,35.646740337925955,139.7457089828888,3.06,,"田町駅, 東京, 居酒屋, もつ鍋, 海鮮",,https://tabelog.com/tokyo/A1314/A131402/13125236/
炭火と酒 くろや 田町店,東京都港区芝5-22-3浅岡ビル4F,35.64836133792521,139.74658398290455,3.34,,"三田駅, 東京, 居酒屋, もつ鍋, 鳥料理",,https://tabelog.com/tokyo/A1314/A131402/13134276/
個室居酒屋 稚内漁港×稚内牧場 田町店,東京都港区芝5-19-7ハイベール B1F,35.647658537926,139.74769428289667,3.24,,"三田駅, 東京, 居酒屋, 海鮮, ジンギスカン",,https://tabelog.com/tokyo/A1314/A131402/13215826/
田町 鳥心,東京都港区芝5-22-5タムラビル B1F,35.648130937925345,139.74657968290222,3.46,,"三田駅, 東京, 焼き鳥, 居酒屋, ワインバー",,https://tabelog.com/tokyo/A1314/A131402/13194648/
炭火焼きと創作酒肴 粋 田町店,東京都港区芝浦3-7-153F,35.64363254046644,139.74925635245643,3.42,,"田町駅, 東京, 居酒屋, 焼き鳥, もつ鍋",,https://tabelog.com/tokyo/A1314/A131402/13289973/
大衆酒場 ヒキニクロータス,東京都港区芝5-23-16,35.648194078730384,139.7456448440653,3.09,,"三田駅, 東京, 居酒屋, 海鮮, 肉料理",,https://tabelog.com/tokyo/A1314/A131402/13285848/
焼鳥酒場 酉の市,東京都港区芝浦3-12-2やまとビル 4F,35.642726538735054,139.74940088400743,3.11,,"田町駅, 東京, 居酒屋, もつ鍋, 焼き鳥",,https://tabelog.com/tokyo/A1314/A131402/13268882/
田町 蟹一清,東京都港区芝5-26-30専売ビル B1F-A,35.647555106080986,139.74522706204203,3.22,,"三田駅, 東京, かに, 鍋, 日本料理",,https://tabelog.com/tokyo/A1314/A131402/13306768/
炭焼三田酒場 クシトコ,東京都港区芝5-22-8,35.647806160056916,139.74648808690162,3.0,,"三田駅, 東京, 居酒屋, 焼き鳥, もつ焼き",,https://tabelog.com/tokyo/A1314/A131402/13307781/
